id_individual,contribution,cont_type,contribution_year,work_area,compensation
213,456.31982422,1,1996,2,4563.1992188
357,1962.5390625,1,1996,2,19625.390625
801,3090.9882813,1,1996,2,30909.890625
1051,80.049987793,2,1996,3,800.5
1496,24.529998779,1,1996,1,245.29992676
1810,80.049987793,2,1996,4,800.5
1822,883.13964844,1,1996,5,8831.3984375
2089,1839.8798828,1,1996,2,18398.796875
2250,60.25,1,1996,3,602.5
2437,3206.1582031,1,1996,1,32061.59375
3059,7617.7382813,1,1996,2,76177.375
3272,490.62988281,1,1996,4,4906.296875
3290,245.31994629,1,1996,1,2453.1992188
3440,264.93994141,1,1996,1,2649.3984375
3554,1211.609375,1,1996,1,12116.09375
3855,220.78991699,1,1996,1,2207.8984375
3965,235.5,1,1996,1,2355
4450,927.59960938,2,1996,3,9276
4664,735.94970703,1,1996,1,7359.5
5558,1632.2099609,2,1996,2,16322.09375
5857,45.91998291,1,1996,3,459.19995117
6361,226.92993164,1,1996,2,2269.2988281
6624,600,1,1996,1,6000
6629,4415.7070313,1,1996,1,44157.09375
6841,222.58996582,1,1996,3,2225.8984375
7845,12.759994507,1,1996,1,127.59997559
7847,23.589996338,1,1996,1,235.89990234
8395,8.4699935913,1,1996,1,84.699951172
8657,74.329956055,1,1996,1,743.29980469
8945,300.26977539,1,1996,3,3002.6992188
9343,28.919998169,1,1996,3,289.19995117
9629,101.32995605,2,1996,1,1013.2998047
9646,98.129943848,1,1996,4,981.29980469
10110,73.599975586,1,1996,2,736
10233,267.4699707,1,1996,3,2674.6992188
10289,58.309997559,1,1996,1,583.09960938
10310,215.87988281,1,1996,1,2158.7988281
10525,353.25976563,1,1996,1,3532.5996094
10755,240.40991211,1,1996,5,2404.0996094
10765,490.62988281,1,1996,1,4906.296875
10777,513.77978516,1,1996,1,5137.796875
11053,426.87988281,2,1996,4,4268.796875
11225,1962.5390625,1,1996,1,19625.390625
11353,2355.0390625,1,1996,2,23550.390625
11820,138.56994629,1,1996,4,1385.6992188
12322,104.31994629,1,1996,1,1043.1992188
13020,588.75976563,1,1996,2,5887.5976563
13166,296.86987305,1,1996,3,2968.6992188
13194,100.70996094,1,1996,2,1007.0996094
13205,4415.7070313,1,1996,1,44157.09375
13379,7.5399971008,1,1996,4,75.399963379
13395,2171.6992188,1,1996,1,21717
14231,2453.1699219,1,1996,1,24531.6875
14693,130.91992188,1,1996,1,1309.1992188
14913,294.37988281,1,1996,3,2943.7988281
15252,10.939994812,1,1996,1,109.39996338
15331,27.259994507,1,1996,5,272.59985352
15415,2453.1699219,1,1996,3,24531.6875
15595,370.05981445,1,1996,2,3700.5996094
15781,726.76953125,1,1996,5,7267.6992188
15790,2391.7890625,1,1996,3,23917.890625
16156,273.53979492,1,1996,1,2735.3984375
16567,4.9299964905,1,1996,1,49.299987793
16784,82.559997559,1,1996,3,825.59960938
17205,52.139984131,1,1996,3,521.39990234
17499,919.93994141,1,1996,1,9199.3984375
17797,297.16992188,1,1996,3,2971.6992188
17907,206.06994629,1,1996,1,2060.6992188
17909,194.18994141,2,1996,1,1941.8994141
17966,981.26953125,1,1996,1,9812.6953125
18048,177.69995117,1,1996,1,1777
18224,141.7199707,1,1996,2,1417.1992188
18500,18.939987183,1,1996,1,189.39990234
18582,145.36999512,1,1996,2,1453.6992188
18613,1471.8994141,1,1996,1,14719
19217,49.179992676,1,1996,4,491.79980469
19305,282.86987305,1,1996,2,2828.6992188
19429,6817.2265625,1,1996,3,68172.25
19738,1141.3691406,1,1996,2,11413.695313
19768,121.18994141,1,1996,3,1211.8994141
20068,85.129943848,1,1996,2,851.29980469
20106,865.53955078,2,1996,1,8655.3984375
20137,756.08984375,1,1996,1,7560.8984375
21031,710.48974609,1,1996,3,7104.8984375
21168,382.68994141,1,1996,3,3826.8984375
21180,1710.8994141,1,1996,2,17109
21225,122.41998291,1,1996,3,1224.1992188
21695,588.75976563,1,1996,2,5887.5976563
21705,488.51977539,1,1996,1,4885.1992188
21763,1670.0898438,1,1996,3,16700.890625
22004,264.93994141,1,1996,2,2649.3984375
22037,89.349975586,2,1996,4,893.5
22150,21.769989014,1,1996,2,217.69995117
22288,108.13995361,1,1996,1,1081.3994141
22529,230.25,1,1996,2,2302.5
22570,235.5,1,1996,3,2355
22624,114.39996338,1,1996,1,1144
22633,1295.2695313,1,1996,1,12952.695313
22693,110.00994873,1,1996,1,1100.0996094
23225,2207.8496094,1,1996,4,22078.5
23645,302.55981445,1,1996,1,3025.5996094
23799,1342.7890625,1,1996,2,13427.898438
24642,1913.4697266,1,1996,1,19134.6875
