id_individual,employer_id,contribution_year,contribution,num_contribution,mm_contribution,compensation,cont_type,work_area,activity_code
357,15828,1998,3544,12,111111111111,29536,1,2,-9
801,14351,1998,6535,9,000111111111,54460,1,2,-9
838,1421,1998,232,1,000000000001,1932,1,2,-9
1051,,1998,99,1,,826,2,3,-9
1496,6632,1998,49,1,000000000001,491,1,1,-9
1810,,1998,470,3,,3921,2,4,-9
1974,28316,1998,71,4,001001001001,589,1,3,-9
2162,30328,1998,35,3,000100100001,294,1,3,-9
2166,,1998,42,1,,349,2,2,-9
2365,6287,1998,76,12,111111111111,751,1,1,-9
2437,3594,1998,1923,3,000000000111,16027,1,1,-9
3051,3803,1998,25,1,000000010000,208,1,1,-9
3051,28891,1998,13,1,001000000000,106,1,1,-9
3059,18653,1998,7203,5,000100100111,69283,1,2,-9
3109,16377,1998,8,2,000000000011,71,1,2,-9
3110,27548,1998,5,3,110000000010,46,1,2,-9
3272,13557,1998,1619,9,011111111010,13492,1,4,-9
3282,26519,1998,31,3,000010110000,260,1,1,-9
3282,,1998,416,5,,3465,2,1,-9
3598,18638,1998,4,2,101000000000,29,1,1,-9
3598,27548,1998,8,2,000000000011,68,1,2,-9
3834,12049,1998,49,1,000000000001,491,1,4,-9
3923,27260,1998,69,1,000001000000,577,1,3,-9
3965,23609,1998,471,1,000000000010,3925,1,1,-9
4105,6410,1998,59,1,000000100000,589,1,2,-9
4450,3972,1998,147,1,000010000000,1472,1,3,-9
4450,6238,1998,34,1,000000100000,341,1,3,-9
4450,7776,1998,29,2,000000000011,294,1,3,-9
4450,17186,1998,191,2,000001000000,1912,1,3,-9
4450,,1998,24,1,,198,2,3,-9
4664,8219,1998,1472,6,010101010101,14719,1,1,-9
4761,5019,1998,324,1,000001000000,3238,1,1,-9
5008,18638,1998,3,2,001100000000,25,1,1,-9
5203,,1998,2586,1,,21553,2,2,-9
5311,,1998,76,1,,637,2,2,-9
5634,2985,1998,709,7,101111110000,5908,1,3,-9
5985,21226,1998,25,1,000000000001,248,1,5,-9
6065,21575,1998,2404,10,111111111100,24041,1,1,-9
6361,29008,1998,3042,5,000000011111,30419,1,2,-9
6414,7659,1998,22,1,000000000001,221,1,3,-9
6422,20842,1998,265,1,000010000000,2649,1,3,-9
6588,15498,1998,4246,11,110111111111,35386,1,3,-9
6624,,1998,2575,2,,21459,2,1,-9
6673,17551,1998,14,4,000001110010,113,1,1,-9
7234,13995,1998,303,5,110111000000,3032,1,1,-9
7710,17558,1998,3533,5,000000101110,29438,1,5,-9
7845,5,1998,196,1,000000000010,1963,1,3,-9
8453,3283,1998,4423,3,100000001001,36858,1,1,-9
8551,17657,1998,1374,11,111111101111,11451,1,1,-9
8618,14388,1998,3514,3,000000010101,29283,1,1,-9
8657,12942,1998,198,8,010101000101,1980,1,1,-9
8945,14233,1998,381,11,011111111111,3806,1,3,-9
9031,14634,1998,92,1,010000000000,922,1,1,-9
9342,,1998,822,1,,6852,2,1,-9
10110,5790,1998,240,1,000010000000,2404,1,2,-9
10110,16317,1998,49,1,000100000000,491,1,2,-9
10110,19334,1998,1128,1,000100000000,11285,1,2,-9
10110,20188,1998,49,1,000100000000,491,1,2,-9
10233,8068,1998,242,2,000100000100,2419,1,3,-9
10257,26273,1998,151,1,000001000000,1258,1,2,-9
10257,27401,1998,1255,7,000100110101,10459,1,5,-9
10310,27953,1998,283,3,000010110000,2355,1,1,-9
10371,2638,1998,35,2,000000010100,294,1,3,-9
10371,7009,1998,271,2,000001100000,2254,1,3,-9
10371,25213,1998,1030,3,000000110001,8586,1,3,-9
10371,30642,1998,83,1,000100000000,692,1,3,-9
10777,22614,1998,4,1,000000000100,32,1,1,-9
11053,,1998,1960,3,,16333,2,4,-9
11225,13466,1998,1852,4,000001000001,15436,1,1,-9
