id_individual,employer_id,contribution_year,contribution,num_contribution,mm_contribution,compensation,cont_type,work_area,activity_code
765072,27565,2001,3357,5,000000011111,25823,1,3,1
765289,28858,2001,463,6,000011100111,3564,1,1,35
765433,24139,2001,1356,11,111111111110,10428,1,1,14
765612,21091,2001,1170,3,000100000011,10846,1,4,1
766000,7155,2001,186,3,000111000000,1859,1,1,35
766052,14587,2001,1502,9,101111100111,15019,1,2,17
766052,21328,2001,336,2,000010001000,3357,1,3,36
766350,15899,2001,7644,5,000101001011,76440,1,1,1
766401,5312,2001,1209,1,000000000001,9296,1,2,1
766518,5773,2001,3099,6,001010101011,30987,1,2,1
766524,12654,2001,1370,12,111111111111,13702,1,2,1
766554,,2001,1586,3,,12692,2,1,-9
766727,,2001,383,5,,2946,2,5,-9
766803,3415,2001,103,2,000100010000,795,1,3,1
766859,,2001,2029,1,,15608,2,4,-9
766868,16548,2001,1787,5,001001111000,13746,1,2,1
767102,5420,2001,839,4,000000001111,6456,1,2,36
767412,20635,2001,460,1,000000000001,3536,1,1,35
767412,29678,2001,2033,10,111111001111,15637,1,1,36
767412,,2001,143,1,,1100,2,1,-9
767853,27652,2001,36,3,001110000000,298,1,1,1
768207,30622,2001,2305,8,111111110000,23055,1,2,36
768211,26338,2001,9400,6,000000111111,72304,1,1,1
768254,28505,2001,778,5,110011100000,5983,1,2,1
768354,13641,2001,6714,1,000000010000,67139,1,1,36
768391,20569,2001,648,7,101111000011,4982,1,3,14
768397,,2001,80,2,,612,2,4,-9
768434,11902,2001,106,4,000000111100,818,1,2,36
768526,23719,2001,130,2,000000000011,997,1,3,32
768604,932,2001,403,1,000000000001,3099,1,3,1
768659,2638,2001,127,3,001010001000,977,1,3,14
768701,6211,2001,1175,6,000000111111,9038,1,2,36
768768,19599,2001,2256,5,001100100101,17353,1,2,1
768796,21924,2001,2839,12,111111111111,21838,1,2,32
768874,13480,2001,604,2,000000001001,4648,1,3,36
769013,29489,2001,93,4,000000001111,719,1,3,36
769038,2638,2001,242,2,000000101000,1862,1,3,14
769038,22842,2001,155,2,000011000000,1549,1,3,13
769078,28136,2001,46,1,010000000000,354,1,4,36
769090,10103,2001,3659,11,111111101111,28147,1,1,1
769201,,2001,107,2,,826,2,2,-9
769458,8228,2001,905,4,000000001111,6960,1,1,36
769570,22221,2001,462,8,000011111111,3554,1,4,13
769607,20647,2001,1950,12,111111111111,19501,1,2,1
769864,14837,2001,9939,11,011111111111,76455,1,1,1
770359,21924,2001,35,6,110110000110,266,1,2,32
770359,26456,2001,14,1,000000100000,107,1,4,32
770413,27098,2001,54,1,000000001000,413,1,1,36
770949,4666,2001,1446,10,001111111111,14461,1,2,1
771040,15764,2001,8755,3,000001000011,67350,1,1,36
771066,7013,2001,99,1,000000000001,762,1,1,29
771345,19772,2001,2446,11,011111111111,24459,1,1,36
771392,,2001,2015,3,,15503,2,2,-9
771478,21415,2001,226,3,000000000111,1740,1,3,36
771478,25941,2001,25,1,100000000000,195,1,3,36
771509,,2001,1223,2,,9596,2,1,-9
771592,20443,2001,566,5,000000111110,4350,1,2,36
771680,9067,2001,4958,3,000001001001,49580,1,2,1
771741,5784,2001,930,8,000011111111,9296,1,2,13
771898,12886,2001,13,1,000000001000,103,1,4,32
771902,23452,2001,434,4,000000011110,3341,1,4,36
771996,,2001,1712,2,,13166,2,2,-9
772192,30439,2001,537,1,000000000001,4132,1,4,1
772192,,2001,3324,8,,25571,2,4,-9
772312,1913,2001,1343,1,000000000001,10329,1,2,1
772494,21924,2001,187,4,100111000000,1442,1,2,32
772494,,2001,854,1,,6569,2,1,-9
772543,17305,2001,130,3,000000000111,997,1,2,36
772544,27239,2001,403,3,000000000111,3099,1,4,36
772616,1769,2001,133,2,110000000000,1021,1,1,32
772642,14730,2001,1343,1,000000000100,10329,1,4,1
772642,17752,2001,2014,1,000000001000,15494,1,5,1
772642,21543,2001,671,2,000000000011,5165,1,1,1
772642,22605,2001,3357,3,000001101000,25823,1,1,1
772980,12290,2001,2749,9,001011111111,21147,1,2,14
773018,,2001,14,1,,108,2,3,-9
773319,10590,2001,159,3,001110000000,1224,1,1,14
773319,11099,2001,11,1,000000000001,83,1,1,36
773319,17032,2001,402,9,111111000111,3092,1,1,14
773406,600,2001,836,4,000000011110,8356,1,3,36
773686,21693,2001,650,2,000000001001,5000,1,3,17
774176,17763,2001,1239,9,001111101111,12395,1,1,1
774579,10678,2001,107,2,001000000010,826,1,5,1
774707,10082,2001,423,9,001111111110,3254,1,2,13
774707,28293,2001,837,11,011111111111,6436,1,2,13
774741,,2001,498,2,,3832,2,1,-9
