id_individual,employer_id,contribution_year,contribution,num_contribution,mm_contribution,compensation,cont_type,work_area,activity_code
357,15828,2000,4592,12,111111111111,35326,1,2,1
591,5369,2000,115,1,000000000001,886,1,2,36
801,14351,2000,9686,12,111111111111,74511,1,2,36
1066,20716,2000,21,1,000000000001,163,1,1,36
1105,16928,2000,1340,2,000000000011,10305,1,1,36
1105,24960,2000,384,8,000111101111,2952,1,3,14
1179,20313,2000,59,1,000000000010,594,1,1,4
1496,6632,2000,49,1,000000000001,491,1,1,1
1593,13324,2000,3826,4,001001001001,29430,1,1,1
1810,,2000,978,2,,7522,2,4,-9
1974,8862,2000,12,1,100000000000,95,1,3,17
1974,27626,2000,459,7,011111010100,3528,1,3,3
2166,,2000,470,1,,3619,2,2,-9
2437,3594,2000,3127,6,000001111110,24051,1,1,36
2955,13033,2000,29,1,000000100000,222,1,3,3
3059,18653,2000,7451,7,110111010100,74509,1,2,1
3113,,2000,194,1,,1490,2,1,-9
3272,13557,2000,2074,5,110100000001,15951,1,4,1
3282,,2000,389,3,,2991,2,1,-9
3372,17022,2000,31,1,000000001000,310,1,2,14
3377,17155,2000,49,1,000000000001,491,1,1,1
3554,24269,2000,5103,1,000000010000,39251,1,1,1
3598,27548,2000,14,5,111100000001,107,1,2,32
3965,23609,2000,574,1,000000000001,4418,1,1,1
4105,6410,2000,59,1,000000100000,589,1,2,1
4409,26281,2000,5,1,000000100000,40,1,3,3
4450,,2000,668,3,,5141,2,3,-9
4612,21924,2000,38,4,001110100000,290,1,2,32
4632,24584,2000,1169,9,000111111111,8994,1,1,36
4761,,2000,2085,8,,16042,2,1,-9
5203,,2000,1142,1,,8784,2,2,-9
5347,11241,2000,897,9,001111111110,6897,1,2,13
5378,27548,2000,42,8,111110001101,326,1,2,32
5943,,2000,1035,5,,7965,2,3,-9
6065,21575,2000,1547,9,111111111000,15473,1,1,1
6361,1573,2000,230,1,010000000000,2298,1,2,1
6361,14047,2000,383,1,001000000000,3832,1,2,1
6361,29008,2000,4416,9,111111111000,44157,1,2,1
6588,15498,2000,5465,12,111111111111,42040,1,3,1
6624,,2000,3886,2,,29891,2,1,-9
7188,11000,2000,1276,2,000010000001,9813,1,2,1
7234,13995,2000,132,3,000100100001,1322,1,1,13
7638,19438,2000,2364,12,111111111111,18183,1,2,1
8453,3283,2000,5740,1,000000000001,44157,1,1,1
8551,17657,2000,1739,11,111111101111,13376,1,1,17
8582,2745,2000,159,1,001000000000,1227,1,3,36
8582,21636,2000,1879,3,000100100001,14457,1,5,36
8727,9200,2000,638,1,000000000001,4906,1,2,13
8945,14233,2000,320,9,111100111110,3197,1,3,17
8947,17551,2000,4,1,100000000000,32,1,1,32
9191,27548,2000,5,2,000000011000,40,1,2,32
9619,8978,2000,6378,1,000000000001,49063,1,1,1
9629,24139,2000,315,3,111000000000,3145,1,1,36
10110,5790,2000,250,1,000010000000,2505,1,2,1
10110,16317,2000,49,1,010000000000,491,1,2,1
10110,19334,2000,1276,1,010000000000,12756,1,2,1
10110,20188,2000,49,1,010000000000,491,1,2,1
10233,8068,2000,280,3,000100001001,2799,1,3,13
10251,28831,2000,246,1,000000000100,2458,1,2,1
10257,27401,2000,1864,7,100001101010,14342,1,5,36
10357,731,2000,2020,6,000111010110,15541,1,2,1
10777,14927,2000,1391,9,011111111100,10699,1,1,36
11053,,2000,1578,7,,12141,2,4,-9
11077,18218,2000,341,2,110000000000,2626,1,5,1
11225,13466,2000,3827,5,100010101010,29442,1,1,1
11275,24413,2000,204,1,000000001000,1569,1,2,14
11302,23893,2000,259,4,000000001111,1990,1,4,35
11353,18186,2000,5103,12,111111111111,39251,1,2,1
12399,29863,2000,568,1,000000000001,4370,1,3,36
13194,11388,2000,49,1,000000000010,491,1,2,1
13205,1452,2000,6251,1,000000000001,48082,1,1,1
13372,6981,2000,728,5,011111000000,5602,1,3,32
13395,422,2000,3042,10,111111111100,30419,1,1,1
13761,23060,2000,1472,2,000000100001,14719,1,1,1
13932,21177,2000,2426,9,000111111111,24263,1,2,13
14140,7195,2000,189,2,000010001000,1885,1,3,1
14231,3628,2000,4465,1,000000000010,34344,1,1,1
14231,24441,2000,1276,1,000000000010,9813,1,1,1
14453,4161,2000,558,2,000100010000,4291,1,3,3
14826,29810,2000,961,1,000000001000,7389,1,2,1
15058,11122,2000,240,7,011000111110,2396,1,1,14
15331,12327,2000,49,1,000000000010,491,1,5,1
15465,16377,2000,12,3,000101100000,95,1,2,32
15554,,2000,2619,6,,20146,2,3,-9
15588,18283,2000,135,2,000001100000,1041,1,5,14
15725,20315,2000,606,1,100000000000,4660,1,3,1
15814,27523,2000,276,8,110111001110,2763,1,4,35
15826,28820,2000,646,3,111000000000,4966,1,3,14
15996,25827,2000,2453,12,111111111111,24532,1,2,1
16223,26821,2000,701,4,111100000000,5391,1,1,36
16376,20359,2000,138,2,101000000000,1061,1,4,14
16509,19004,2000,287,2,000000011000,2205,1,3,13
16764,20845,2000,2417,3,010001000010,18588,1,2,13
