id_individual,employer_id,contribution_year,contribution,num_contribution,mm_contribution,compensation,cont_type,work_area,activity_code
357,15828,1999,4421,12,111111111111,36845,1,2,1
801,14351,1999,8800,12,111111111111,73337,1,2,36
838,1421,1999,231,1,100000000000,1928,1,2,1
1496,6632,1999,49,1,000000000001,491,1,1,1
1593,13324,1999,3533,4,000101001001,29438,1,1,36
1810,,1999,124,1,,1033,2,4,-9
1974,27626,1999,59,1,000000000010,491,1,3,3
1974,28316,1999,24,1,001000000000,198,1,3,3
2162,30328,1999,24,2,001000001000,197,1,3,36
2166,,1999,33,2,,275,2,2,-9
2365,6287,1999,59,12,111111111111,594,1,1,32
2419,19733,1999,46,1,000000000001,387,1,1,1
2437,3594,1999,3847,7,011111000011,32055,1,1,1
3059,18653,1999,6262,4,000011101000,62620,1,2,1
3109,16377,1999,22,2,011000000000,185,1,2,32
3272,13557,1999,1766,11,111111010111,14719,1,4,1
3282,,1999,1304,9,,10863,2,1,-9
3554,24269,1999,4710,1,000000000001,39251,1,1,1
3598,27548,1999,8,3,101000000001,65,1,2,32
3965,23609,1999,471,1,000000000010,3925,1,1,1
4105,6410,1999,59,1,000000100000,589,1,2,1
4450,,1999,434,1,,3615,2,3,-9
4536,13108,1999,118,4,000111100000,981,1,1,24
4761,,1999,1156,3,,9632,2,1,-9
5203,,1999,1034,1,,8621,2,2,-9
5311,,1999,287,3,,2393,2,2,-9
5378,27548,1999,42,3,000000000111,353,1,2,32
5985,21226,1999,24,1,000000000001,243,1,5,36
6065,21575,1999,1359,8,000011111111,13593,1,1,1
6275,27548,1999,17,4,000110010100,138,1,2,32
6361,1573,1999,161,1,001000000000,1606,1,2,1
6361,29008,1999,4906,12,111111111111,49063,1,2,1
6422,20842,1999,574,2,000100010000,5743,1,3,17
6588,15498,1999,4636,12,111111111111,38631,1,3,1
6624,,1999,4484,3,,37370,2,1,-9
7234,13995,1999,72,1,000100000000,723,1,1,36
8403,25,1999,2318,1,000000000001,19315,1,3,1
8453,3283,1999,5299,1,000000000001,44157,1,1,1
8551,17657,1999,1461,11,111111101111,12175,1,1,17
8582,21636,1999,212,1,000000010000,1765,1,5,36
8618,14388,1999,1277,2,000000100001,12772,1,1,1
8657,12942,1999,114,5,010101000000,1141,1,1,14
8945,14233,1999,254,5,011010000011,2536,1,3,36
8947,17551,1999,90,6,000001101111,753,1,1,32
8947,27548,1999,3,1,000010000000,26,1,2,32
9342,,1999,225,1,,1872,2,1,-9
9619,8978,1999,4121,1,000000000010,34344,1,1,1
9629,24139,1999,780,7,001111000011,7798,1,1,36
10110,5790,1999,241,1,010000000000,2407,1,2,36
10110,16317,1999,49,1,010000000000,491,1,2,1
10110,19334,1999,1227,1,010000000000,12266,1,2,1
10110,20188,1999,49,1,010000000000,491,1,2,1
10122,6287,1999,5,1,000000000010,39,1,1,32
10155,21744,1999,1,1,000001000000,8,1,1,36
10233,8068,1999,400,4,100010001001,4003,1,3,1
10251,28831,1999,492,2,100000000010,4917,1,2,1
