id_individual,employer_id,contribution_year,contribution,num_contribution,mm_contribution,compensation,cont_type,work_area,activity_code
165,9403,2003,212,12,111111111111,1514,1,3,36
357,15828,2003,5208,11,011111111111,37200,1,2,1
440,8746,2003,1433,9,000111111111,10236,1,1,36
460,6013,2003,156,2,000000000011,1114,1,1,26
761,19619,2003,3880,8,000011111111,31040,1,1,6
801,14351,2003,11258,9,111111111000,80414,1,2,1
1092,18490,2003,8,1,001000000000,57,1,3,36
1099,12196,2003,736,5,000001011011,5257,1,5,36
1146,4999,2003,2353,12,111111111111,16807,1,1,19
1226,28813,2003,7000,10,011111101111,50000,1,1,1
1307,22071,2003,237,4,000111100000,1693,1,3,36
1593,13324,2003,6768,11,011111111111,48343,1,1,36
1810,,2003,2298,11,,16418,2,4,-9
1895,17305,2003,203,1,010000000000,1450,1,2,36
1974,17901,2003,426,12,111111111111,3043,1,3,36
1992,3730,2003,876,1,000000000001,8760,1,5,1
2162,8495,2003,1777,10,101111111110,12693,1,3,36
2166,,2003,20,2,,144,2,2,-9
2396,16975,2003,3200,1,000000000001,32000,1,1,1
2437,3594,2003,7092,11,011111111111,50657,1,1,36
2499,22336,2003,1201,3,010101000000,9608,1,1,6
2694,10163,2003,338,1,000000000001,2704,1,2,8
2694,15744,2003,1512,1,000000000001,10800,1,2,36
2705,18263,2003,1106,3,001001100000,7900,1,4,36
2812,20928,2003,420,3,001110000000,3000,1,3,12
2955,2249,2003,5,3,000001010010,36,1,5,3
3059,24363,2003,10119,3,010000100100,80393,1,2,36
3113,,2003,1868,3,,13343,2,1,-9
3272,13557,2003,2688,12,111111111111,19200,1,4,1
3282,1066,2003,3934,9,000111111111,28100,1,1,36
3282,8216,2003,280,1,000000100000,2000,1,1,1
3282,16173,2003,813,3,111000000000,5807,1,1,36
3440,30875,2003,432,12,111111111111,3086,1,1,25
3554,24269,2003,8939,1,000000100000,63850,1,1,1
3598,27548,2003,14,6,101010110100,100,1,2,32
3640,2638,2003,35,2,000000011000,250,1,3,14
3658,26590,2003,1674,5,000001011101,11957,1,1,19
