id_individual,employer_id,contribution_year,contribution,num_contribution,mm_contribution,compensation,cont_type,work_area,activity_code
165,2638,2002,26,2,010100000000,186,1,3,14
165,9403,2002,282,9,000111111111,2014,1,3,36
357,15828,2002,5208,11,011111111111,37200,1,2,1
484,27548,2002,50,2,001100000000,357,1,2,18
801,14351,2002,10995,9,111111111000,78536,1,2,1
1105,2638,2002,132,3,001011000000,943,1,3,14
1105,3053,2002,202,6,111111000000,1443,1,2,14
1105,16928,2002,651,1,010000000000,4650,1,1,6
1496,26769,2002,9,1,000010000000,90,1,1,1
1593,13324,2002,6768,11,011111111111,48343,1,1,1
1810,,2002,2261,12,,16751,2,4,-9
1895,17305,2002,872,4,000000001111,6229,1,2,36
1974,17901,2002,358,11,110111111111,2557,1,3,3
2166,,2002,64,2,,459,2,2,-9
2396,16975,2002,3000,1,000000000001,30000,1,1,1
2437,3594,2002,7092,11,011111111111,50657,1,1,36
2472,29517,2002,453,5,000000011111,3236,1,2,8
2499,22336,2002,1202,4,000000101011,12020,1,1,6
2694,11262,2002,1419,12,111111111111,10136,1,2,9
2694,15744,2002,452,2,000100001000,3229,1,2,36
3059,24363,2002,7852,8,011111111000,78520,1,2,1
3113,,2002,1390,3,,9929,2,1,-9
3272,13557,2002,2111,10,001111111111,15079,1,4,1
3282,16173,2002,3252,12,111111111111,23229,1,1,36
3554,24269,2002,8939,2,000000000101,63850,1,1,6
3598,27548,2002,22,6,100101110010,157,1,2,18
3994,7549,2002,1008,1,000000000001,7200,1,4,1
4028,26869,2002,1161,7,011111110000,8293,1,1,36
4134,26627,2002,92,1,000000000001,657,1,3,36
4400,3937,2002,106,1,000000000001,1060,1,1,8
4409,20796,2002,397,2,000000000101,2836,1,3,36
4450,,2002,498,2,,3557,2,3,-9
4481,2322,2002,513,9,111111000111,3664,1,4,1
4632,24584,2002,2127,11,011111111111,15193,1,1,36
4761,,2002,1213,2,,8982,2,1,-9
4921,18482,2002,119,3,111000000000,850,1,5,27
4967,1593,2002,1047,10,011111110111,7479,1,1,8
5122,14373,2002,211,2,000110000000,2110,1,1,1
5122,21104,2002,1014,5,000000011111,10140,1,1,36
5258,26053,2002,387,3,111000000000,3870,1,2,1
5378,27548,2002,21,8,111010100111,150,1,2,18
5943,,2002,1327,3,,9832,2,3,-9
5985,21226,2002,26,1,000000000001,260,1,5,36
6361,1573,2002,259,1,010000000000,2590,1,2,19
6361,11202,2002,1743,7,011101001101,17430,1,2,4
6361,20774,2002,260,9,000111111111,2600,1,2,1
6522,,2002,261,2,,1867,2,3,-9
6574,9890,2002,1075,8,111110000111,7679,1,1,36
6588,15498,2002,5561,12,111111111111,39721,1,3,19
6624,11673,2002,533,3,101000001000,5330,1,1,36
7159,13542,2002,370,3,111000000000,2643,1,3,36
7188,11000,2002,3528,4,000100100101,25200,1,2,1
7418,11140,2002,257,11,111111110111,1836,1,1,36
7526,23617,2002,90,3,000000000111,643,1,2,26
7638,19438,2002,4332,12,111111111111,30943,1,2,36
8453,3283,2002,2810,1,000000000001,20071,1,1,36
8551,10202,2002,2100,12,111111111111,15000,1,1,6
8582,21636,2002,578,1,000010000000,4129,1,5,5
8618,14388,2002,652,1,000000000010,6520,1,1,1
8644,8310,2002,1628,2,000001000001,16280,1,1,6
8707,16024,2002,656,6,000111111000,4686,1,1,27
8945,14233,2002,432,12,111111111111,4320,1,3,19
9081,14034,2002,84,1,000000000001,600,1,2,6
9480,11341,2002,827,5,000000011111,5907,1,3,8
9609,5802,2002,1477,9,000111111111,10550,1,3,36
9609,21359,2002,796,4,111100000000,5686,1,3,36
9619,8978,2002,7230,1,000000000001,51643,1,1,1
9795,4647,2002,14,3,000000000111,100,1,4,36
9836,16798,2002,154,1,000000100000,1100,1,2,36
9997,30714,2002,6,1,000010000000,60,1,1,1
10110,5790,2002,253,1,001000000000,2530,1,2,1
10110,16136,2002,3300,10,011111111110,33000,1,2,6
10110,16194,2002,119,1,000000000001,1190,1,2,1
10110,16317,2002,52,1,010000000000,520,1,2,1
10110,19334,2002,1343,1,010000000000,13430,1,2,1
10110,20188,2002,52,1,010000000000,520,1,2,1
10233,8068,2002,216,3,000100010001,1706,1,3,14
10251,28831,2002,251,1,000000000001,2510,1,2,1
10257,27401,2002,1280,3,000000001011,9143,1,5,36
10357,28550,2002,2365,10,011111111110,16893,1,2,1
10777,10441,2002,2262,12,111111111111,16157,1,1,6
