id_individual,employer_id,contribution_year,contribution,num_contribution,mm_contribution,compensation,cont_type,work_area,activity_code
21,17695,2004,57,1,000000000010,320,1,3,27
165,9403,2004,44,2,110000000000,247,1,3,36
188,26122,2004,2670,1,000000000001,15000,1,2,36
231,26701,2004,1517,8,000011111111,8522,1,2,8
357,15828,2004,6624,11,011111111111,37213,1,2,6
440,8746,2004,1680,7,011111011000,9438,1,1,36
460,6013,2004,506,6,100000011111,2843,1,1,26
761,19619,2004,6048,12,111111111111,40320,1,1,6
801,14351,2004,13249,13,111111111111,72488,1,2,1
1099,12196,2004,590,5,001010001110,3315,1,5,36
1146,4999,2004,1982,8,111111110000,11135,1,1,36
1162,30685,2004,98,1,000000010000,551,1,2,36
1174,29047,2004,2840,6,000011111100,15955,1,3,1
1226,28813,2004,9025,12,011111111111,50021,1,1,1
1496,26769,2004,13,1,000100000000,87,1,1,4
1593,13324,2004,8810,12,011111111111,48876,1,1,1
1810,,2004,1502,6,,8683,2,4,-9
1865,12450,2004,7290,4,000000100101,40792,1,1,1
1974,17901,2004,269,6,111111000000,1511,1,3,3
1992,3730,2004,1626,3,100000100001,16260,1,5,1
2396,16975,2004,1500,1,000000000100,15000,1,1,1
2437,3594,2004,3004,4,011110000000,16876,1,1,36
2694,10163,2004,540,11,011111111111,3600,1,2,8
2694,15744,2004,1922,1,000000000001,10798,1,2,36
3059,24363,2004,15114,11,001111111111,82409,1,2,1
3113,,2004,2967,3,,16669,2,1,-9
3272,13557,2004,4052,12,111111111111,22764,1,4,1
3282,1066,2004,1786,4,111100000000,10034,1,1,36
3282,,2004,841,2,,4725,2,1,-9
3554,24269,2004,11625,2,000000000001,63850,1,1,10
3655,21617,2004,17,1,000000001000,96,1,1,36
3658,26590,2004,1419,3,010101000000,7972,1,1,1
3830,20903,2004,54,2,000001000010,303,1,1,36
3936,29527,2004,2670,4,000000111100,15000,1,3,36
3965,23609,2004,890,1,000000000001,5000,1,1,1
3994,7549,2004,1709,1,000000000001,9601,1,4,1
4192,14335,2004,37,2,000000000101,208,1,1,36
4221,6445,2004,5044,2,101000000000,28337,1,3,1
4400,3937,2004,1798,12,111111111111,17980,1,1,1
4450,,2004,503,2,,2827,2,3,-9
